label,message,,,
0,Wants to know how the hell I can remember words to songs from years ago but canâ€™t remember what I went into the next room for!?!,,,
0,Love is a long sweet dream & marriage is an alarm clock..,,,
0,The world could be amazing when you are slightly strange.,,,
0,My secret talent is getting tired without doing anything. ðŸ˜€,,,
0,"Khatarnaak Whatsapp Status Everâ€¦ Can\â€™t talk, wife around",,,
0,The new way of forgetting your past is deleting your chats ðŸ˜›,,,
0,"204 countries, 805 Islands, 7 seas, 7+ Billion people and Iâ€™m still single..",,,
0,Availableâ€¦. Prabhu ichhaa takâ€¦â€¦!!!!!,,,
0,"Life is too short to be serious all the time. So if you canâ€™t laugh at yourself, call me I will laugh at you ðŸ˜€",,,
0,A really cool feature of the Nano they donâ€™t tell you about is that even beggars ignore you at a traffic signal. Relaxing facility.,,,
0,"You love flowers, but you cut them. You love animals, but you eat them. You tell me you love me, so now Iâ€™m scared!",,,
0,"All person b very careful when u step out today n tomorrow. . They r looking out for bakraâ€™s, Canâ€™t afford to lose any of  u  ðŸ˜€",,,
0,"Men have feelings too. For example, we feel hungry.",,,
0,3 horrible things in life: 1) Slow Internet. 2) Slow Internet. 3) Slow Internet.,,,
0,My teacher today gave 45 minute speech about not wasting time.,,,
0,"Women loves shoes bcz no matter how much & whatever they eat, the shoe always fits :p",,,
0,Never laugh at your wifeâ€™s choices. ..you are one of them â€¦,,,
0,"Thank God there is No Hindi version of WhatsApp otherwise ""Last Seen"" would be ""Antim Darshan"" .",,,
0,Hey there! Iâ€™m using my brain.,,,
0,I put my heart n soul into my work and lost my brain in d process,,,
0,"Getting married is a lot like getting into a tub of hot water. After you get used to it, it ainâ€™t so hot.",,,
0,"Sorry about those texts I sent you last night, my phone was drunk.",,,
0,"When a bird hits your windshield, have you ever wondered if God is playing angry birds with you?",,,
0,Taking your ex back is like going to the junk yard and buying back your own crap.,,,
0,I donâ€™t know why I keep a plastic bag at home full of plastic bags.,,,
0,I work out everyday I do 1 sit-up every morning when I wake up.,,,
0,One wise guy invented Whatsappâ€¦ and his wife added last seen feature ðŸ™‚ ,,,
0,I wish I had Google in my mind and antivirus in my heart.,,,
0,(-_-) x 1.3 Billion people = China,,,
0,Youâ€™re beautiful until your Photoshop 30 day trial has gone.,,,
0,"When you wait for a waiter in a restaurant, arenâ€™t you a waiter?",,,
0,I love my six packs so much; I protect it with a layer of fat.,,,
0,WARNING!! I know karate â€¦..and some other words!!!,,,
0,I Wish My Parents Were Like Google. They Should Understand Me Even Before I Complete.,,,
0,Watching PKâ€¦ After PK..!!,,,
0,A man says a lot of things in summer he doesnâ€™t mean in winter.,,,
0,I Wonder What Happenâ€™s When Doctorâ€™s Wife Eats An Apple A Day ðŸ˜‰,,,
0,"Study economics-when youâ€™re unemployed, at least youâ€™ll know why.",,,
0,"Hey there, Iâ€™m using 123whatsappstatus.com!",,,
0,Women- Godâ€™s version of Rubik cube.,,,
0,"Tum mujhe â€˜Hmmmâ€™ do, main tumhe â€˜Kâ€™ dunga",,,
0,"SI unit of ignorance = ""online""",,,
0,"Hey there, Iâ€™m using my parents.",,,
0,"Donâ€™t use bathroom in your dream, Itâ€™s a set-up.",,,
0,"There are 3 types of people in the world- vegetarian, non-vegetarian & Tuesday Saturday.",,,
0,"My laziness is like 8, when I lie down it becomes infinity ðŸ˜€",,,
0,"Accept that some days you are the pigeon, and some days you are the statue.",,,
0,"WhatsApp free hai, main nahi. ",,,
0,Nobody is perfect. Even dettol kills only 99.9% of germs!,,,
0,"Iâ€™m on a sea-food diet, I see food, I eat it!",,,
0,Exams in the university are closer than they appear.,,,
0,Decided to burn lots of calories today so I set a fat kid on fire:-D,,,
0,I remember when my old Nokia phone said I had low battery it meant that I had 2 days to find a charger. :â€™),,,
0,What if girls can read mindsâ€¦ Every second a boy gets slappedâ€¦,,,
0,"I have come to the conclusion that Google must be female, as she has the answer to everything!",,,
0,"Girls are like police. Even when they get a hold of all the evidence, they still want to hear the truth from you.",,,
0,"Mirrors donâ€™t lie. Lucky for you, they donâ€™t laugh either.",,,
0,"If you love someone set them free. If they come back, set them on fire.. ðŸ˜‰",,,
0,When someone hates you for no reason. Give them a reason ðŸ˜›,,,
0,Non-urgent calls only!! :p,,,
0,Sometimes I think to write LOL at the end of every answer in exams,,,
0,"I donâ€™t care what people say or think about me, at least am attractive to mosquitoes ðŸ˜›",,,
0,"Iâ€™m not sad for being single. Rather Iâ€™m thinking about her, who is single because of me.",,,
0,"Not always available, try your luck ðŸ˜‰",,,
0,I think Uruguayâ€™s Luis Suarez is the man to bit the Appleâ€™s logo,,,
0,The average millionaire goes bankrupt at least 3.5 times. I have gone 2 times. Pretty Close,,,
0,55% of people will yawn after reading the word â€œyawn.â€,,,
0,Typingâ€¦,,,
0,Oh! Game over and you lost me ðŸ™‚,,,
0,You can do anything but not everything ..,,,
0,Three Mistakes Of My Life : WTF (Whatsapp Twitter Facebook),,,
0,Hey there WHATSAPP is using me !!,,,
0,"Waiting for ""Ache Din""",,,
0,"Dear math, Iâ€™m tired finding your ""X"" DUDE she is gone, Please Move on Bro. !",,,
0,NAMO (MODI) victory has proved that a man can succeed only when his mother is near and his wife is awayâ€¦,,,
0,The word EXAMS make me sick without PAIN.,,,
0,"My koochi my poochi please get my Gucci, Even if you have to sell all your blood.",,,
0,"In todayâ€™s world u donâ€™t have to b smart, only your smartphone should be smart.",,,
0,Mera status dekhkar aapko kya mila? BABAJI KA THULLU ?,,,
0,We have a history together â€¦â€¦and English and French alsoâ€¦.. ðŸ™‚,,,
0,I am in a relationship with studies and itâ€™s complicated.?,,,
0,"Some people just need a High-Five, on the face.",,,
0,"I prefer work smarter, Instead of harder",,,
0,My Condolences for confused in love and for broken Heart,,,
0,"Act crazy, donâ€™t regret, do things you would never ever do because life is short so live it up! ðŸ™‚",,,
0,I hate that people who fart silently in public,,,
0,"My phone is on airplane mode, WTF itâ€™s not flying!",,,
0,"After marriage, the other manâ€™s wife looks more beautiful.",,,
0,Team work is important; it helps to put the blame on someone else.,,,
0,Life is beautifulâ€¦ from Friday to Monday.,,,
0,"I will marry the girl, who look pretty in her Adhaar card ",,,
0,"I never forget a face, but in your case Iâ€™ll be glad to make an exception.",,,
0,Being underestimated always serves as an advantage!! ,,,
0,"Confession is good for the soul, but bad for your career.",,,
0,"Isnâ€™t it scary that doctors call what they do ""practice""?", PO Box 5249," MK17 92H. 450Ppw 16""",
0,Two peanuts were walking into a tough neighborhood and one of them was a-salted.,,,
0,"Never make the same mistake twice, There are so many new ones.",,,
0,Someday short people are gonna unite and take over the world.,,,
0,"I have flabby thighs, but fortunately my stomach covers them.",,,
0,Installing love. â€¦â€¦44%. Installation failed. Error 404: install money first.,,,
0,Kids born in 2000 never have to worry about forgetting how old they are.,,,
0,"Vegetarians, if you want animals to live, why do you eat their food.",,,
0,Bungee jumping is suicide with strings attached!,,,
0,"If the stuff that comes out of my mouth upsets you, just think of all the things I keep to myself.",,,
0,if your dog barks nd ememies laugh take it serious,,,
0,Bye bye Everybody bye bye USA,,,
0,"People say you cant live without love, but I think oxygen is more important.",,,
0,I love being married. Itâ€™s so great to find that one special person you want to annoy for the rest of your life.,,,
0,"Iâ€™m take a nice long shit, so donâ€™t stress me !",,,
0,Happiness is homemade.....,,,
0,Smile and the world smiles with you.,,,
0,DON'T FoRGet To Smile.,,,
0,A smile is a curve that sets everything straight.,,,
0,"When life gives you a hundred reasons to cry, show life that you have a thousand reasons to smile.",,,
0,"Smile and let everyone know that today, youâ€™re a lot stronger than you were yesterday.",,,
0,The purpose of life is to enjoy every moment.,,,
0,Learn to make yourself happy.,,,
0,SMile! every minute of the day.You never know who is falling in love with it.,,,
0,Aspire to Inspire before you expire,,,
0,A fake smile can hide millions of tears...,,,
0,LIFE IS BEAUTIFUL *Conditions Apply* ,,,
0,COUNT blessings NOT problems.,,,
0,Every time You smile I smile.,,,
0,YOU know what's beautiful? Read the first word again.,,,
0,Happiness is a perfume you cannot pour on others without getting a few drops of yourself.,,,
0,Be happy for this moment is your life.,,,
0,Let your smile change the world But don't let the world change your smile.,,,
0,"The best feeling in the world is when the person you like, likes you back.",,,
0,Smile is the best medicine in the word . . . . . so please keep smile,,,
0,One of the keys to happiness is a bad memory.,,,
0,"Expand your happiness by sharing it with. The larger a rainbow, the more brightly it shines.",,,
0,"Smiling is infectious, you can catch it like the flu. Someone smiled at me today And I started smiling too.",,,
0,"The more anger towards the past you carry in your heart, the less capable you are of loving in the present.",,,
0,Happiness is not something you postpone for the future; it is something you design for the present.,,,
0,"Brain and Beauty doesn't make you best in the world, but how beatiful your THOUGHTS to beautify this world.",,,
0,Always believe that something wonderful is about to happen.,,,
0,"Next time when you think about a wonderful & beautiful thing in life, don't forget to include YOURSELF in it.",,,
0,"HAPPINESS is not determined by what is happening around you, but rather what is happening inside you. Most people depend on others to gain HAPPINESS,but the truth is, it always comes from within...",,,
0,When you finally let go of the past something better comes along.,,,
0,Noboday can take away your PAIN... so don't let anyone take aways your HAPPINESS.,,,
0,"Simply seek happiness, and you are not likely to find it. Seek to create and love without regard to your happiness, and you will likely to happy much of the time.",,,
0,"Dear whoever is reading this... You're beautiful and someone out there is crazy about you. SO, SMILE! Life is too short to be happy.",,,
0,The best way to cheer yourself up is to try to cheer somebody else up.,,,
0,LIVE for the moments you can't put into words.,,,
0,"As soon as you TRUST yourself, you will know how to live.",,,
0,"Enjoy the little things in life, for you'll one day look back and realize they were the big things.",,,
0,No one is the reason of your happiness expect you yourself.,,,
0,The most important things in life aren't things.,,,
0,"Why waste you time getting hurt by someone, when there's someone else out there waiting to make you happy?",,,
0,When life gives you a hundred reasons to cry show life you have a thousand reasons to smile,,,
0,"Do not let your past rob your future. Each new day is a chance to make a new beginning. Count your blessings, live with gratitude and love with all your heart",,,
0,I can always make you smiling.,,,
0,Iâ€™m wearing the smile you gave me.,,,
0,Happiness means you. I Love You.,,,
0,Be the reason someone smiles today.,,,
0,"Smile and forgive, it's the only way to live.",,,
0,"Next time when you think about a wonderful & beautiful thing in life, don't forget to include YOURSELF in it.",,,
0,"The lower you set your expectations of people, the less it hurts when they disappoint you.",,,
0,To be beautiful means to be yourself. You don't need to be accepted by others. You need to accept yourself.,,,
0,"Strong people know how to keep their life in order. Even with tears in their eyes, they still manage to say ""I'm ok"" with a smile.",,,
0,Think big thoughts but relish small pleasures.,,,
0,Happiness is not ready made it comes by our own actions. ,,,
0,The secret of happiness is doing what you love. The secret of success is loving what you do.,,,
0,"If you cannot be a pencil to write anyone's happiness, then yous hould at least try to be a nice rubber to erase someone's sadness...",,,
0,"You know life is worth the struggle when you look back on what you lost, and realize what you have now is much better than before.",,,
0,My Real Smile Comes when i am with you.,,,
0,Youâ€™re the reason behind my smile.,,,
0,A lot of people end up unhappy because they make permanent decisions on temporary emotions.,,,
0,So many of my smiles begin with you.,,,
0,Happiness is when â€œLast seen atâ€ changes to â€œonlineâ€ and then to â€œtyping..â€,,,
0,The happiness of your life depends on the quality of your thoughts.,,,
0,We're so busy watching out for what's just ahead of us that we don't take time to enjoy where we are.,,,
0,"Be thankful and count your blessings for what you have, rather than what you want.",,,
0,"In order to live well, you must makes a conscious decisions to be happy! Don't let the liitle things in life ruin your day.",,,
0,SMILE It will make you look better.PRay It will keep you strong LOVE It will make you enjoy life.,,,
0,I am always satisfied with the best. ,,,
0,Train your mind to see good in everything.,,,
0,Smile! It is the second best thing you can do with your lips.,,,
0,Happiness isn't a destination. It's the journey you choose to take.,,,
0,Spread more love than hate.,,,
0,"You can't buy happiness, but you can buy ice cream. and that's kind of the same thing.",,,
0,"Sometimes your existence give hope to one person or your smile make someone else smile,so value yourself.",,,
0,"I slept and dreamt that Life was joy. I woke & saw that life was service. I acted and behold, service was joy.",,,
0,A good laugh and a long sleep are the best cures for anything.,,,
0,Every day we are given is a gift and we should treat it that way.,,,
0,The happiness of your life depends upon the quality of your thouhts.But the quality of your thoughts depends on the persons whom you meet in your life...,,,
0,"Never miss an opportunity to make others happy, even if you have to leave them alone in order to do it.",,,
0,Cry. Forgive. Learn. Move on. Let your tears water the seeds of your future happiness.,,,
0,I have Many problems in my life...But My lips don't know that' They Always Smile..,,,
0,Deal with your problems before they deal with your happiness.,,,
0,"Choose your thoughts carefully. Keep what brings you peace, release what brings you suffering. And know that happiness is just a thoughy away!",,,
0,Theres no fun in a perfect life. So make a risk . Take a chance. Go where the mind takes you.Have fun.,,,
0,Laugh alone and the world thinks you're an idiot.,,,
0,"I am stronger because I had to be, I am smarter because of my mistakes, happier because of the sadness I've known and now wiser because I learned.",,,
0,"Sometimes the greatest gifts in life are the ones you cannot see, but the one you can feel.",,,
0,When you think you're not happy with youe LIFE always think that someone is happy simply because you EXiST.,,,
0,"Faith keeps you strong. Love keeps you whole and happiness keeps you alive. So don't be a downer! Be happpy, be strong, be free, be alive.",,,
0,Don't let the sadness of your past and the fear of your future win the happiness of your present.,,,
0,Smile in front of people who hate youâ€¦ Ur happiness kills themâ€¦,,,
0,If you aren't happy with being single you will never be happy in relationship. get your own life fist then share it.,,,
0,"Don't wait for the good days, just live the bad days as good as possible! ",,,
0,"You don't need a boy to keep you happy, all you need is to be yourself!",,,
0,"I hate when people say they miss you,but donâ€™t make a effort to speak to you or see you. !!",,,
0,In order to stay happy in life you have to get rid of the things that make you unhappy.,,,
0,"The key to achieve inner happiness is to strive to make someone else happy, Instead of trying to make yourself happy all the time.",,,
0,"Laugh when you can, apologize wen you should and let go of what you can't change.",,,
0,Happy people don't necessarily have the best of everything; they must make the best out of everything they have.,,,
0,"Everything in Life happens for a reason, STOP worrying about the reason and just LIVE for what HAPPENS!",,,
0,Love what you Have. Want what you Need. Accept what yoru Recieve. Give what you Can. Forgive what you Can't. Bless what you See. BE THE LIGHT.,,,
0,"Whatever makes you feel bad, leave it. Whatever makes you smile, keep it.",,,
0,And when you smile the whole world stop & stares for a while .,,,
0,As long as you are looking back on the past you will never see what's ahead in.,,,
0,There is no begining or end to your dreams or plans. Life is journey from moment to moment. Live each moment to its fullest.,,,
0,Smile and others will smile back,,,
0,Kindness is the most meaningful form of progress.,,,
0,Play the moments. Pause the memories. Stop the pain. Rewind the happiness.,,,
0,"One of the simplest ways to stay happy is to let go of
all of the things that make you sad.",,,
0,Naughty by Nature. Wild By Choice.,,,
0,"The key of my happiness, just forgetting my past.",,,
0,I believe in love and marriage but not necessarily with the same person.,,,
0,Without Her Permission I Will Touch Her Only To Wipe Her Tears..!,,,
0,I'm easy. Are you?,,,
0,KISS ME.. I am Magically Delicious.,,,
0,"I finally realized this, I need you more than I thought.",,,
0,A secret is what you tell everyone not to tell anyone else.,,,
0,Never place the key of your happiness into a pocket of another.,,,
0,"Happiness temporarily escapes into the wilderness sometimes, but it returns to fill your soul.",,,
0,The inner soul indulges in your true happiness. Feed it.,,,
0,Donâ€™t analyze happiness. Let it flow without analyzing the rationality of it.,,,
0,"Most people chose to be certain that they are in a miserable state, rather than leaping into the risk of being happy.",,,
0,A way to spark of your soul journey into happiness is sparking light into anotherâ€™s happiness.,,,
0,"We should quit trying to be happy, we missing out on the good times!",,,
0,Birthday Quotes for Boyfriend,,,
0,Happiness sparks off once one has mind settled but then sparks all over in random spurts.,,,
0,"Not many wish to share in your misery, but all indulge in your happiness.",,,
0,"Happiness cannot be commanded from a life program, just delete unhappy brands blocking access paths.",,,
0,Laughing without cause are passionate expressions of true happiness.,,,
0,Apology Quotes â€“ Apologize Quotes,,,
0,Tune into happiness with that life song on happy melodies.,,,
0,You do not have to be officially certified and graduated to earn happiness.,,,
0,Count your troubles away and delve into countless joys.,,,
0,Do not start to be aware of what a wonderful life you had in the past tense. Awaken to it in the present.,,,
0,Birthday quotes for boyfriend,,,
0,"Happiness is not miles away; it is right by your side, clinging to you to grasp it.",,,
0,The moment of exploring in anticipation is a clinch of happiness beyond the final cave of it.,,,
0,"Differing self-fulfillment paths are taken. Just because others are not on the same road, does not mean they are lost.",,,
0,"Questioning what brings happiness is difficult to answer. Wealth has failed. Poverty has failed. Sadness and happiness are parallel trails. Each time you pause, one of them intervene your space.",,,
0,"All attempt a reversal in the life puzzle, they begin by trying to build more wealth and assets to be happy. The correct path is first to find your true happiness in order to grow into abundance.",,,
0,New Relationship Quotes,,,
0,Man strives to be happy leaving his pathway to happiness impossible.,,,
0,Serve your happiness wants elegantly on yourself.,,,
0,Reap and enjoy your happiness harvest.,,,
0,Hold your head high and straighten up shaking depression bubbles to air away.,,,
0,"Crush quotes, crushing quotes",,,
0,"Pleasure on earth comes in stray packages, waiting to be seized.",,,
0,Donâ€™t fade away precious moments making up your mind about being happy. It is about letting go!,,,
0,Happiness is a realm of true courage.,,,
0,"It is not fit to bear burdens of great joy, seep into tranquil pleasure.",,,
0,"Happiness is not about finally getting something we desired, it is about appreciating what we already have.",,,
0,Compassion is the key to the happiness of others and your own.,,,
0,Happiness is a seed that roots into a blooming bliss.,,,
0,"There are moments now and again when all in the world is just so right, a gentle heavenly wave on a soul journey.",,,
0,A happy childhood never expires and can be embraced at any time.,,,
0,Happiness is good health with a poor memory that eliminates all the lifeâ€™s failures.,,,
0,"Love, laughter, health, abundance and a tinge of luck â€“ The Joy of happiness!",,,
0,Happiness is the by-product of a goal.,,,
0,"Happiness is not a location, it is a direction.",,,
0,Outward beautification needs a soul happiness expression to resonate.,,,
0,The true cosmetic for beauty is happiness.,,,
0,One that is happy will devour enjoyment of the scenery on a detour route.,,,
0,Be one happy person. This is a true formula to stay happy.,,,
0,One obstacle kerbing happiness is expecting too much of it.,,,
0,Sculpt away misery engraving happiness into your golden flame of life.,,,
0,Happy thoughts are seeds that sow positivity in abundance.,,,
0,Happiness is an ideal of imagination and not reason.,,,
0,A heart filled with joy has more worth than a pocket of coins.,,,
0,Happiness is not limited in one direction and spreads to all life quarters.,,,
0,A satisfaction overdose leaves you bloated in happiness.,,,
0,One loses happiness when wishing for more happiness.,,,
0,Avoid misery by having sufficient leisure to wonder about your state of happiness.,,,
0,"All have a basic right to pursue happiness, just grab it as it waits in your path. Or create the happiness you desire.", the person is definitely special for u..... But if the person is so special, why to miss them," just Keep-in-touch\"" gdeve.."""
0,Bliss comes to those who are not on a chase for it. Chasing it will be a futile and exhausting path.,,,
0,The root of unhappiness is a futile search for gaining happiness.,,,
0,Being content is a blessing that is not disguised.,,,
0,Happiness is a nest of love.,,,
0,Do not postpone happiness. It is not a temporary phase but interwoven with eternal blessings.,,,
0,"We are in no position to be in control of the world, but we can control our reactions to our life encounters. Choose happiness.",,,
0,Happiness prevails in the present and revives each new day in its presence.,,,
0,Happiness is a form of spiritual and harmonious spring you do not want to stop the feeling.,,,
0,A good exercise is to jump for joy!,,,
0,Happiness is a joyful feast even if the first course was misery that had to be gulped away.,,,
0,Enjoy the sound of a centered soul in the harmonious bliss of happiness.,,,
0,"On the route to happiness, many get detoured in the curved direction.",,,
0,Happiness is contagious; sparking it off for one will spread the glow to many.,,,
0,Happiness needs to spread its wings and grow into every facet and not enclosed a clung perception of a limited enclosure.,,,
0,Happiness is ordinary and everyday consciousness without a concentration on the self concern.,,,
0,The greatest gift to those who love us is simply being happy.,,,
0,"You may not always be happy, but can always spread happiness.",,,
0,Happiness is not ruined in moments of great catastrophes but a repetition of minute habits.,,,
0,A twinge of happiness scatters a mass multitude of grief.,,,
0,Happiness has to be produced to be consumed.,,,
0,You are only as miserable as you perceive to be. Misery is created with seeds sprouted in thoughts of negativity.,,,
0,Happiness is the core of wisdom.,,,
0,Happiness is the task of the inner soul.,,,
0,Unhappiness is aspiring on a lost cause to get unknown wants.,,,
0,"Be happy in the present, or happiness will cease.",,,
0,Happiness has no attached price tags.,,,
0,"In a state of calmness and serenity, inner peace overwhelms painful outer experiences.",,,
0,"Happiness clustered is limited, but letting go will expand the preciousness of it.",,,
0,Valuing the joy and merit of others will lead to happiness.,,,
0,"Without pain, you will not know happiness.",,,
0,"Happiness is about your thoughts, messages and actions are in order.",,,
0,"Happiness is not about owning, earning or consuming, it is gratitude, love and grace in a spiritual reality.",,,
0,Gathering crumbs of happiness which creates a full loaf of contentment.,,,
0,Happiness is harmony between men on the course of his life.,,,
0,Happiness is not about having a troubled mind or a pain in the body.,,,
0,What we need to make us happy is to be enthusiastic about an aspiration.,,,
0,Happiness occurs naturally and seldom is a result of circumstances.,,,
0,"Where there is joy, pain melts away.",,,
0,"Unhappiness can either be unwholesome food, severe labor or erring life habits.",,,
0,Many people miss out on the bliss of happiness as they did not stop to embrace and enjoy it.,,,
0,Being grateful to those that harvest our garden of happiness makes our soul blossom.,,,
0,"For every one minute of anger, sixty seconds of happiness is lost.",,,
0,Happiness is a choice that is conscious and not an automated response.,,,
0,"To be useful is to be happy, and all else, incidental.",,,
0,Counting all the blessings is a paramount key to unlock the door of happiness.,,,
0,Happiness is a soul journey.,,,
0,"The past is gone; the future is not yet here, so we need to embrace the present.",,,
0,"The best route of awareness is a realization of knowing that your problems are actually your own and there is no point in blaming them on family, the government or the pastor who prayed with you, bringing no results of springing happiness. You are in control of your destiny.",,,
0,The happiest in the world are those who fully love themselves and accept the responsibility of every life aspect.,,,
0,Optimism is a magnet of happiness. Staying positive will attract all the best for you.,,,
0,Practicing true compassion brings immediate happiness that is long lasting.,,,
0,Happiness is living each day as if it is your first honeymoon day and last vacation day.,,,
0,Happiness is about choice. Most are as happy as they chose to be.,,,
0,We must learn to let go of the life we carefully planned and motion with the life waiting in our pathway.,,,
0,"Freedom is by doing what you prefer to do, but happiness is about liking what you have chosen to do.",,,
0,Spending a lifetime anticipating and preparing for a storm will seize moments to lay back and devour the sunshine.,,,
0,"Each day is a new beginning, a new chapter to start afresh in a new spark. Forget about what did not happen or focus on what can be.",,,
0,"Do not aim to be better than the other person, but aim to better yourself.",,,
0,"Happiness is not a piece of a lost puzzle, it is self-created.",,,
0,Choose to live life as the miracle is in everything around you.,,,
0,"If you chase happiness it eludes you, but just like a butterfly, it will rest on your shoulder if you are not pursuing to capture it.",,,
0,To be happy does not mean that all is perfect. It means that you have chosen to look beyond any imperfections.,,,
0,"Whether it is anger, frustration, jealousy or joy, they are all universe gifts for our enjoyment or growth.",,,
0,"The journey of life should be one you fall in love with and once you love this journey of life, you will always be in love with life.",,,
0,"Happiness is a direction, not a place. The only thing that will make you happy is being happy with who you are",,,
0,Happiness is letting go of what you think your life is supposed to look like,,,
0,Success is not the key to happiness. Happiness is the key to success.Â ,,,
0,"If you want to be happy, set a goal that manages your thinking, expresses your strengths, and inspires your hopes",,,
0,Figure out how to esteem yourself which means battling for your satisfaction,,,
0,"Not he who has much is rich, but he who gives much",,,
0,"If the only tool you have is a hammer, you tend to see every problem as a nail",,,
0,You may also like Best Attitude status quotes for WhatsApp,,,
0,Distance between madness and talent is measured only by success,,,
0,Never confine yourself to the limited imagination of others; Never limit yourself to others because of your limited imagination,,,
0,Happiness is not something ready-made. It comes from your own actions,,,
0,Happiness is not a goal; it is a by-product,,,
0,The pursuit of happiness is one of the main sources of hunger,,,
0,"When you love what you have, you have everything you need",,,
0,"To succeed in life, you need two things: ignorance and confidence",,,
0,Donâ€™t wait. The time will never be just right,,,
0,"After every difficulty, ask yourself two questions: â€œWhat did I do right?â€ and â€œWhat would I do differently?",,,
0,Donâ€™t brood. Get on with living and loving. You donâ€™t have forever,,,
0,Doing the best at this moment puts you in the best place for the next moment,,,
0,Lifeâ€™s real failure is when you do not realize how close you were to success when you gave up,,,
0,"If youâ€™re going through hell, keep going",,,
0,Happiness is where we find it but rarely where we look for it,,,
0,Be miserable. Or motivate yourself. Everything you have to do is always your choice,,,
